acc_id,fallecidos_lesionados,fall_les,g_edad,sexo_vic
2013|582,Lesionado,,45-49,
2013|583,Lesionado,,20-24,
2013|584,Fallecido,,20-24,
2013|585,Lesionado,,25-29,
2013|586,Lesionado,,20-24,
2013|587,Lesionado,,30-34,
2013|588,Lesionado,,30-34,
2013|589,Fallecido,,20-24,
2013|590,Fallecido,,20-24,
2013|591,Fallecido,,40-44,
2013|592,Lesionado,,20-24,
2013|593,Lesionado,,25-29,
2013|594,Lesionado,,30-34,
2013|595,Lesionado,,25-29,
2013|596,Fallecido,,Ignorado,
2013|597,Lesionado,,20-24,
2013|598,Lesionado,,15-19,
2013|599,Lesionado,,20-24,
2013|600,Lesionado,,30-34,
2013|601,Lesionado,,35-39,
2013|602,Lesionado,,25-29,
2013|603,Lesionado,,40-44,
2013|604,Lesionado,,25-29,
2013|605,Lesionado,,30-34,
2013|606,Lesionado,,15-19,
2013|607,Lesionado,,30-34,
2013|608,Lesionado,,15-19,
2013|609,Lesionado,,20-24,
2013|610,Lesionado,,20-24,
2013|611,Lesionado,,25-29,
2013|612,Fallecido,,55 y más,
2013|613,Lesionado,,15-19,
2013|614,Lesionado,,40-44,
2013|615,Lesionado,,15-19,
2013|616,Lesionado,,Menor de 15,
2013|617,Lesionado,,Menor de 15,
2013|618,Lesionado,,20-24,
2013|619,Lesionado,,20-24,
2013|620,Lesionado,,Ignorado,
2013|621,Lesionado,,15-19,
2013|622,Lesionado,,20-24,
2013|623,Lesionado,,30-34,
2013|624,Lesionado,,30-34,
2013|625,Lesionado,,25-29,
2013|626,Lesionado,,20-24,
2013|627,Lesionado,,20-24,
2013|628,Lesionado,,20-24,
2013|629,Lesionado,,25-29,
2013|630,Lesionado,,50-54,
2013|631,Lesionado,,55 y más,
2013|632,Lesionado,,30-34,
2013|633,Lesionado,,Ignorado,
2013|634,Lesionado,,35-39,
2013|635,Lesionado,,35-39,
2013|636,Fallecido,,25-29,
2013|637,Lesionado,,25-29,
2013|638,Lesionado,,20-24,
2013|639,Lesionado,,15-19,
2013|640,Lesionado,,15-19,
2013|641,Lesionado,,30-34,
2013|642,Lesionado,,20-24,
